,0
0,0.1714
1,0.1724
2,0.1714
3,0.1714
4,0.1714
5,0.1716
6,0.1716
7,0.1726
8,0.17248
9,0.17248
10,0.17248
11,0.1726
12,0.1716
13,0.1716
14,0.1716
15,0.1716
16,0.1716
17,0.1716
18,0.1716
19,0.1716
20,0.1716
21,0.1716
22,0.1716
23,0.1716
24,0.1716
25,0.1716
26,0.1716
27,0.1716
28,0.1716
29,0.1716
30,0.1716
31,0.1716
32,0.1716
33,0.1716
34,0.1716
35,0.1716
36,0.1716
37,0.1716
38,0.1716
39,0.1716
40,0.1716
41,0.1716
42,0.1716
43,0.1716
44,0.1716
45,0.1716
46,0.1716
47,0.1716
48,0.1716
49,0.1716
50,0.1716
51,0.1716
52,0.1716
53,0.1716
54,0.1716
55,0.1716
56,0.1716
57,0.1716
58,0.1716
59,0.1716
60,0.1716
61,0.1716
62,0.1716
63,0.1716
64,0.1716
65,0.1716
66,0.1716
67,0.1716
68,0.1716
69,0.1716
70,0.1716
71,0.1716
72,0.1716
73,0.1716
74,0.1716
75,0.1716
76,0.1716
77,0.1716
78,0.1716
79,0.1716
80,0.1716
81,0.1716
82,0.1716
83,0.1716
84,0.1716
85,0.1716
86,0.1716
87,0.1716
88,0.1716
89,0.1716
90,0.1716
91,0.1716
92,0.1716
93,0.1716
94,0.1716
95,0.1716
96,0.1716
97,0.1716
98,0.1716
99,0.1716
100,0.1716
101,0.1716
102,0.1716
103,0.1716
104,0.1716
105,0.1716
106,0.1716
107,0.1716
108,0.1716
109,0.1716
110,0.1716
111,0.1716
112,0.1716
113,0.1716
114,0.1716
115,0.1716
116,0.1716
117,0.1716
118,0.1716
119,0.1716
120,0.1716
121,0.1716
122,0.1716
123,0.1716
124,0.1716
125,0.1716
126,0.1716
127,0.1716
128,0.1716
129,0.1716
130,0.1716
131,0.1716
132,0.1716
133,0.1716
134,0.1716
135,0.1716
136,0.1716
137,0.1716
138,0.1716
139,0.1716
140,0.1716
141,0.1716
142,0.1716
143,0.1716
144,0.1716
145,0.1716
146,0.1716
147,0.1716
148,0.1716
149,0.1716
150,0.1716
151,0.1716
152,0.1716
153,0.1716
154,0.1716
155,0.1716
156,0.1716
157,0.1716
158,0.1716
159,0.1716
160,0.1716
161,0.1716
162,0.1716
163,0.1716
164,0.1716
